iteration,current_objective,best_objective,current_total_weight
844,13030,13030,2463
845,13030,13030,2463
846,13030,13030,2463
847,13030,13030,2463
848,13030,13030,2463
849,13030,13030,2463
850,13696,13696,2508
851,13696,13696,2508
852,13696,13696,2508
853,13696,13696,2508
854,13696,13696,2508
855,14432,14432,2536
856,14432,14432,2536
857,14432,14432,2536
858,14432,14432,2536
859,14432,14432,2536
860,14432,14432,2536
861,14432,14432,2536
862,14432,14432,2536
863,14432,14432,2536
864,14432,14432,2536
865,14432,14432,2536
866,14432,14432,2536
867,14432,14432,2536
868,14432,14432,2536
869,14432,14432,2536
870,14432,14432,2536
871,14432,14432,2536
872,14432,14432,2536
873,14432,14432,2536
874,14432,14432,2536
875,14432,14432,2536
876,14432,14432,2536
877,14432,14432,2536
878,14432,14432,2536
879,14432,14432,2536
880,14432,14432,2536
881,14700,14700,2361
882,15500,15500,2451
883,15500,15500,2451
884,15500,15500,2451
885,15500,15500,2451
886,15500,15500,2451
887,15500,15500,2451
888,15500,15500,2451
889,15628,15628,2466
890,15628,15628,2466
891,15628,15628,2466
892,15628,15628,2466
893,15628,15628,2466
894,15628,15628,2466
895,15628,15628,2466
896,15628,15628,2466
897,15628,15628,2466
898,15628,15628,2466
899,15628,15628,2466
900,15628,15628,2466
901,15628,15628,2466
902,15628,15628,2466
903,15628,15628,2466
904,15628,15628,2466
905,15628,15628,2466
906,15628,15628,2466
907,15628,15628,2466
908,15628,15628,2466
909,15628,15628,2466
910,15628,15628,2466
911,15628,15628,2466
912,16487,16487,2540
913,16487,16487,2540
914,16487,16487,2540
915,16487,16487,2540
916,16487,16487,2540
917,16487,16487,2540
918,16487,16487,2540
919,16487,16487,2540
920,16487,16487,2540
921,16487,16487,2540
922,16487,16487,2540
923,16487,16487,2540
924,16487,16487,2540
925,16487,16487,2540
926,16487,16487,2540
927,16487,16487,2540
928,16487,16487,2540
929,16487,16487,2540
930,16487,16487,2540
931,16487,16487,2540
932,16487,16487,2540
933,16487,16487,2540
934,16487,16487,2540
935,16487,16487,2540
936,16487,16487,2540
937,16487,16487,2540
938,16487,16487,2540
939,16487,16487,2540
940,16487,16487,2540
941,16487,16487,2540
942,16487,16487,2540
943,16487,16487,2540
944,16487,16487,2540
945,16487,16487,2540
946,16487,16487,2540
947,16487,16487,2540
948,16487,16487,2540
949,16487,16487,2540
950,16487,16487,2540
951,16487,16487,2540
952,16487,16487,2540
953,16487,16487,2540
954,16487,16487,2540
955,16487,16487,2540
956,16487,16487,2540
957,16487,16487,2540
958,16487,16487,2540
959,16487,16487,2540
960,16487,16487,2540
961,16487,16487,2540
962,16487,16487,2540
963,16487,16487,2540
964,16487,16487,2540
965,16487,16487,2540
966,16487,16487,2540
967,16487,16487,2540
968,16487,16487,2540
969,16487,16487,2540
970,16487,16487,2540
971,16487,16487,2540
972,16487,16487,2540
973,16487,16487,2540
974,16487,16487,2540
975,16487,16487,2540
976,16487,16487,2540
977,16646,16646,2311
978,16651,16651,2388
979,16651,16651,2388
980,16651,16651,2388
981,16651,16651,2388
982,16651,16651,2388
983,16651,16651,2388
984,16651,16651,2388
985,16651,16651,2388
986,17108,17108,2431
987,17108,17108,2431
988,17677,17677,2461
989,17677,17677,2461
990,17677,17677,2461
991,17677,17677,2461
992,17677,17677,2461
993,17677,17677,2461
994,17677,17677,2461
995,17677,17677,2461
996,17677,17677,2461
997,17677,17677,2461
998,17677,17677,2461
999,17677,17677,2461
1000,17677,17677,2461
1001,17677,17677,2461
1002,17677,17677,2461
1003,17677,17677,2461
1004,17677,17677,2461
1005,17677,17677,2461
1006,17677,17677,2461
1007,17677,17677,2461
1008,17677,17677,2461
1009,17677,17677,2461
1010,17677,17677,2461
1011,17677,17677,2461
1012,17677,17677,2461
1013,17677,17677,2461
1014,17677,17677,2461
1015,17677,17677,2461
1016,17677,17677,2461
1017,17677,17677,2461
1018,17677,17677,2461
1019,17677,17677,2461
1020,17677,17677,2461
1021,17677,17677,2461
1022,17677,17677,2461
1023,17677,17677,2461
1024,17677,17677,2461
1025,17677,17677,2461
1026,17677,17677,2461
1027,17677,17677,2461
1028,17677,17677,2461
1029,17677,17677,2461
1030,17677,17677,2461
1031,17677,17677,2461
1032,18536,18536,2471
1033,18827,18827,2531
1034,18827,18827,2531
1035,18827,18827,2531
1036,18827,18827,2531
1037,18827,18827,2531
1038,18827,18827,2531
1039,18827,18827,2531
1040,18827,18827,2531
1041,18827,18827,2531
1042,18827,18827,2531
1043,18827,18827,2531
1044,18827,18827,2531
1045,18827,18827,2531
1046,18827,18827,2531
1047,18827,18827,2531
1048,18827,18827,2531
1049,18827,18827,2531
1050,18827,18827,2531
1051,18827,18827,2531
1052,18827,18827,2531
1053,18827,18827,2531
1054,18827,18827,2531
1055,18827,18827,2531
1056,18827,18827,2531
1057,18827,18827,2531
1058,18827,18827,2531
1059,18827,18827,2531
1060,18827,18827,2531
1061,18827,18827,2531
1062,18827,18827,2531
1063,18827,18827,2531
1064,18827,18827,2531
1065,18827,18827,2531
1066,18827,18827,2531
1067,18827,18827,2531
1068,18827,18827,2531
1069,18827,18827,2531
1070,18827,18827,2531
1071,18827,18827,2531
1072,18827,18827,2531
1073,18827,18827,2531
1074,18827,18827,2531
1075,18827,18827,2531
1076,18827,18827,2531
1077,18827,18827,2531
1078,18827,18827,2531
1079,18827,18827,2531
1080,18827,18827,2531
1081,18827,18827,2531
1082,18827,18827,2531
1083,18827,18827,2531
1084,18827,18827,2531
1085,19109,19109,2539
1086,19109,19109,2539
1087,19109,19109,2539
1088,19109,19109,2539
1089,19109,19109,2539
1090,19109,19109,2539
1091,19109,19109,2539
1092,19109,19109,2539
1093,19109,19109,2539
1094,19109,19109,2539
