iteration,current_objective,best_objective
1148,16121,16121
1149,16121,16121
1150,16142,16142
1151,16142,16142
1152,16142,16142
1153,16142,16142
1154,16142,16142
1155,16142,16142
1156,16142,16142
1157,16064,16142
1158,16064,16142
1159,16480,16480
1160,16480,16480
1161,16480,16480
1162,16480,16480
1163,16480,16480
1164,16480,16480
1165,16480,16480
1166,16480,16480
1167,16480,16480
1168,16480,16480
1169,16480,16480
1170,16480,16480
1171,16480,16480
1172,16502,16502
1173,16502,16502
1174,16502,16502
1175,16502,16502
1176,16502,16502
1177,16502,16502
1178,16502,16502
1179,16502,16502
1180,16502,16502
1181,16502,16502
1182,16502,16502
1183,16502,16502
1184,16502,16502
1185,16502,16502
1186,16502,16502
1187,16502,16502
1188,16502,16502
1189,16502,16502
1190,16502,16502
1191,16502,16502
1192,16502,16502
1193,16502,16502
1194,16502,16502
1195,16502,16502
1196,16502,16502
1197,16502,16502
1198,16502,16502
1199,16502,16502
1200,16502,16502
1201,16502,16502
1202,16502,16502
1203,16502,16502
1204,16502,16502
1205,16502,16502
1206,16502,16502
1207,16502,16502
1208,16502,16502
1209,16502,16502
1210,16502,16502
1211,16502,16502
1212,16502,16502
1213,16502,16502
1214,16502,16502
1215,16502,16502
1216,16502,16502
1217,16502,16502
1218,16502,16502
1219,16502,16502
1220,16502,16502
1221,16644,16644
1222,16644,16644
1223,16644,16644
1224,16644,16644
1225,16644,16644
1226,16644,16644
1227,16644,16644
1228,16644,16644
1229,16644,16644
1230,16644,16644
1231,16644,16644
1232,16644,16644
1233,16644,16644
1234,16644,16644
1235,16644,16644
1236,16746,16746
1237,16746,16746
1238,16746,16746
1239,16746,16746
1240,16746,16746
1241,16746,16746
1242,16746,16746
1243,16746,16746
1244,16746,16746
1245,16746,16746
1246,16746,16746
1247,16746,16746
1248,16746,16746
1249,16746,16746
1250,16746,16746
1251,16746,16746
1252,16746,16746
1253,16746,16746
1254,16746,16746
1255,16746,16746
1256,16746,16746
1257,16746,16746
1258,16746,16746
1259,16746,16746
1260,16941,16941
1261,16941,16941
1262,16941,16941
1263,16941,16941
1264,16941,16941
1265,16941,16941
1266,16941,16941
1267,16941,16941
1268,17134,17134
1269,17134,17134
1270,17134,17134
1271,17134,17134
1272,17134,17134
1273,17134,17134
1274,17134,17134
1275,17134,17134
1276,17134,17134
1277,17134,17134
1278,17134,17134
1279,17134,17134
1280,17134,17134
1281,17134,17134
1282,17134,17134
1283,17213,17213
1284,17213,17213
1285,17213,17213
1286,17213,17213
1287,17213,17213
1288,17213,17213
1289,17213,17213
1290,18167,18167
1291,18167,18167
1292,18167,18167
1293,18167,18167
1294,18167,18167
1295,18167,18167
1296,18167,18167
1297,18167,18167
1298,19026,19026
1299,19026,19026
1300,19026,19026
1301,19026,19026
1302,19026,19026
1303,19026,19026
1304,19026,19026
1305,19026,19026
1306,19026,19026
1307,19026,19026
1308,19026,19026
1309,19026,19026
1310,19026,19026
1311,19026,19026
1312,19026,19026
1313,19026,19026
1314,19026,19026
1315,19026,19026
1316,19026,19026
1317,19026,19026
1318,19026,19026
1319,19026,19026
1320,19026,19026
1321,19026,19026
1322,19026,19026
1323,19026,19026
1324,19026,19026
1325,19026,19026
1326,19026,19026
1327,19026,19026
1328,19026,19026
1329,19026,19026
1330,19026,19026
1331,19026,19026
1332,19026,19026
1333,19026,19026
1334,19152,19152
1335,19152,19152
1336,19152,19152
1337,19152,19152
1338,19152,19152
1339,19152,19152
1340,19152,19152
1341,19152,19152
1342,19152,19152
1343,19152,19152
1344,19152,19152
1345,19474,19474
1346,19474,19474
1347,19474,19474
1348,19474,19474
1349,19474,19474
1350,19474,19474
1351,19474,19474
1352,19474,19474
